SNR_dB, n, k, R, p_hard, BLER
2.000000, 15, 7, 0.466666666667, 1.119472319728e-01, 2.317675625783e-01
2.250000, 15, 7, 0.466666666667, 1.053300732218e-01, 2.049578797453e-01
2.500000, 15, 7, 0.466666666667, 9.882006355616e-02, 1.795302925659e-01
2.750000, 15, 7, 0.466666666667, 9.243255928916e-02, 1.556706161187e-01
3.000000, 15, 7, 0.466666666667, 8.618296922094e-02, 1.335348356418e-01
3.250000, 15, 7, 0.466666666667, 8.008662027848e-02, 1.132434944008e-01
3.500000, 15, 7, 0.466666666667, 7.415860996622e-02, 9.487740486405e-02
3.750000, 15, 7, 0.466666666667, 6.841364668496e-02, 7.847503387985e-02
4.000000, 15, 7, 0.466666666667, 6.286587947200e-02, 6.403181602685e-02
4.250000, 15, 7, 0.466666666667, 5.752871925928e-02, 5.150151786430e-02
4.500000, 15, 7, 0.466666666667, 5.241465432459e-02, 4.079961988865e-02
